"Rank","Last.year","Up.or.down","Name","Position","Position.modifier","Club.on.20.Dec.2020","League","Age.on.20.Dec.2020","Nationality","Profile","Writer"
85,"120","New","Thomas Partey","Midfielder","CENTRE","Arsenal","England",27,"Ghana","Arsenal had been tracking Partey for four years so there was a sense of triumph when, with hours to spare before the September transfer deadline, they met his £45m release clause <a href=""https://www.theguardian.com/football/2020/oct/05/arsenal-make-move-to-sign-thomas-partey-from-atletico-madrid-for-51m"">and got their man</a>. The <a href=""https://www.theguardian.com/football/2020/oct/13/if-i-was-an-animal-id-be-an-octopus-partey-plans-a-splash-at-arsenal"">“Octopus”</a> quickly added extra drive and technical stability to a dreary midfield and was instrumental in the Gunners’ <a href=""https://www.theguardian.com/football/2020/nov/01/manchester-united-arsenal-premier-league-match-report"">first top-flight win at Old Trafford in 14 years</a>, but he subsequently picked up a calf injury and cut a despondent figure when it recurred <a href=""https://www.theguardian.com/football/2020/dec/06/tottenham-arsenal-premier-league-match-report"">halfway through the north London derby</a>. When he is fully fit, Arsenal will feel the full benefit of a multiskilled, versatile international who became a key player for Diego Simeone’s Atlético Madrid and fully deserves his first appearance on this list. ","Nick Ames"
86,"","New","Jesús Navas","Defender","RIGHT","Sevilla","Spain",35,"Spain","When Luis Enrique named his Spain squad at the end of last season, he included Navas. Asked when he expected the Sevilla captain to rest, what with him playing a European final just days before, the Spain coach grinned and replied: “Fifteen minutes and he’ll be fine again.” A pretty good way of summing Navas up. Among the oldest on this list, this winger-turned-full-back never stops, as if he was aged 15 rather than 35. He played every game in La Liga last season, delivering more crosses than anyone, and also lifted <a href=""https://www.theguardian.com/football/2020/aug/21/internazionale-sevilla-europa-league-final-match-report"">his third Europa League</a> 14 years after his first.","Sid Lowe"
87,"","New","Eduardo Camavinga","Midfielder","CENTRE","Rennes","France",18,"France","""My parents are happy, but I want to make them even happier,"" said Camavinga in his first interview as a professional player back in May. ""The way I was raised, happiness is not uniquely linked to material things, it is certain things together, a holistic balance."" As the youngest player on this year's list, having made his France debut before his 18th birthday in November, the son of Congolese parents who was born in an Angolan refugee camp <a href=""https://www.theguardian.com/football/2020/sep/01/eduardo-camavinga-most-exciting-teenager-football-rennes-france"">hasn't been doing too badly</a>. Camavinga's performances for Rennes last season helped the Breton club qualify for the Champions League group stage <a href=""https://www.theguardian.com/football/2020/aug/12/rennes-wake-up-the-neighbours-as-champions-league-anthem-plays-at-3am"">for the first time</a> and it is surely only a matter of time before he is snapped up by one of Europe's big fish.","Ed Aarons"
88,"","New","Marcos Llorente","Forward","CENTRE","Atlético Madrid","Spain",25,"Spain","A new entry on this list and on any list. The son, grandson, nephew and great nephew of professionals, born into a family of football and basketball players who represented Real Madrid, where he too began his career, Llorente is the latest star across the city at Atlético. A defensive midfielder, he has been a revelation over the last six months as an attacking midfielder or even a forward – a role he discovered <a href=""https://www.theguardian.com/football/2020/mar/11/liverpool-atlletico-madrid-champions-league-last-16-second-leg-match-report"">against Liverpool in the Champions League</a> in March and one which has led him to the Spain squad. That night changed his life so much that <a href=""https://www.espn.co.uk/football/atletico-madrid/story/4082310/atletico-madrids-llorente-names-dog-anfield-after-knocking-liverpool-out-of-champions-league"">he named his dog Anfield</a>.","Sid Lowe"
89,"40","-49","Ederson","Goalkeeper","CENTRE","Manchester City","England",27,"Brazil","One of the best goalkeepers around, even if he has made a couple of mistakes already this season. His shot-stopping is as good as ever, as is his distribution, and his is not the area of defence that Pep Guardiola <a href=""https://www.theguardian.com/football/blog/2020/jun/25/manchester-citys-defensive-problems-must-be-tackled-to-reel-in-liverpool"">will be most worried about</a>. Just as Liverpool did a year later City looked to Brazil for a commanding presence in goal, and haven't looked back since. His hefty fall in the list is probably explained by Liverpool finally gaining the upper hand on City in 2020.  ","Paul Wilson"
90,"25","-65","Antoine Griezmann","Forward","CENTRE","Barcelona","Spain",29,"France","Griezmann once said he wanted to dine at the same table as Lionel Messi but he is finding it hard enough just playing in the same team. A man who genuinely could have won the Ballon d’Or two years ago (when he was at No 6 in this list), and would have deserved it too, consistently brilliant over five seasons at Atlético, his lowly position on this list tells a story of his fall from grace since <a href=""https://www.theguardian.com/football/2019/jul/12/antoine-griezmann-joins-barcelona-from-atletico-madrid-for-120m"">joining Barcelona last year for €125m</a>. Scorer of 15 goals in all competitions last season, at times the criticism has been exaggerated, but he just hasn’t found a role, still less happiness, at the Camp Nou.","Sid Lowe"
91,"","New","Robin Gosens","Defender","LEFT","Atalanta","Italy",26,"Germany","A new entry and one of four Atalanta players on this year’s list after their stunning progress <a href=""https://www.theguardian.com/football/2020/aug/12/atalanta-paris-saint-germain-champions-league-quarter-final-match-report"">to last season's Champions League quarter-finals</a>. The 26-year-old wing-back is typical of this Atalanta side: unassuming, hard-working and tactically very astute. Gosens, who has a Dutch father, left the German footballing system in 2012 to join Vitesse’s under-19s and signed for Atalanta in 2017 after spells at Dordrecht and Heracles Almelo. He cost a mere £800,000 but made his Germany debut in September with Joachim Löw describing him as ""a versatile player whose dynamism, enthusiasm and determination is impressive"".","Marcus Christenson"
92,"","New","Nicolò Barella","Midfielder","CENTRE","Internazionale","Italy",23,"Italy","A first-time entry, but unlikely to be the last for a player who has made himself essential to both Inter and the Italian national team. His 2020 highlights reel included a surgical dissection of the Dutch defence to set up Lorenzo Pellegrini in the Nations League this October, and an outrageous backheel flick <a href=""https://www.theguardian.com/football/2020/nov/03/real-madrid-internazionale-champions-league-group-b-match-report"">to tee up Lautaro Martínez</a> away to Real Madrid in the Champions League. Barella’s contribution to team play, though, goes so far beyond those eye-catching moments, with a tireless work ethic that serves him equally well in either the No 10 role or as a box-to-box midfielder.","Nicky Bandini"
93,"","Re-entry","Éver Banega","Midfielder","CENTRE","Al Shabab","Saudi Arabia",32,"Argentina","“I told Éver he can’t go,” Fernando said speaking for everyone at Sevilla but it was too late. Banega’s mind was made up: it was time to turn down the tension and head to Saudia Arabia. The Argentinian had announced the decision early, prompting some to doubt his commitment for the rest of the season but Julen Lopetegui insisted: “I trust him” – and he was right. “Sevilla play well when Banega plays well,” their manager added, and he was right about that too. Banega signed a contract extension to stay on post-lockdown, led them <a href=""https://www.theguardian.com/football/2020/aug/21/internazionale-sevilla-europa-league-final-match-report"">to the Europa League title</a>, and said goodbye in style.","Sid Lowe"
94,"","New","Ferran Torres ","Winger","RIGHT","Manchester City","England",20,"Spain","Wears David Silva's old number, so has plenty to live up to. Still early days at City, but he has made his Premier League debut and scored his first Champions League goal, as well as breaking into the Spanish national side. With <a href=""https://www.theguardian.com/football/2020/nov/17/ferran-torress-treble-helps-spain-humble-germany-in-nations-league"">a hat-trick for Spain in the 6-0 rout of Germany</a> last month especially catching the eye, 2020 went so well for Torres that people are already describing <a href=""https://www.theguardian.com/football/2020/aug/04/ferran-torres-meets-manchester-city-director-to-seal-move-from-valencia"">the £24.5m fee that Manchester City paid Valencia</a> as daylight robbery. Probably bought as a winger rather than a goalscorer, though it's abundantly clear he can do both.","Paul Wilson"
95,"","Re-entry","Álvaro Morata","Forward","CENTRE","Juventus","Italy",28,"Spain","The Spaniard returns to our list for the first time since 2017 after moving back to Italy and Juventus in the summer on loan from Atlético Madrid. The 28-year-old has had some of his happiest times in Turin and has started extremely well under Andrea Pirlo, linking up well with Cristiano Ronaldo and scoring nine goals in his first 14 games for Juve this season. The key, as always with Morata, is that he has a manager who trusts him and in his former teammate Pirlo he has just that. ""Morata is a very strong player,"" Pirlo said in November, ""he just needs consistency and confidence. If he’s good mentally then he can do anything, he can be one of the best strikers in the world."" ","Marcus Christenson"
96,"","New","Dominik Szoboszlai","Midfielder","LEFT","Red Bull Salzburg","Austria",20,"Hungary","Szoboszlai featured on midfield shopping lists around Europe but in the end RB Leipzig beat the rest to sign him from their friends at Red Bull Salzburg. He'll swap Austria for Germany next month and Leipzig will be getting their hands on a creative force who has been likened to David Beckham for his set-piece prowess and Kevin De Bruyne for his ability to dictate a game’s tempo. Last season’s Austrian player of the season has a wand of a right foot and an increasing taste for the big occasion, both of which he demonstrated in the sensational injury-time solo goal in November <a href=""https://www.theguardian.com/football/2020/nov/12/euro-2020-playoffs-georgia-north-macedonia-hungary-iceland"">that earned Hungary qualification</a> for next year's European Championship finals. Technically exceptional and deliciously creative, Szoboszlai has the potential to be a star for the next decade – his first appearance on this list is highly unlikely to be the last. ","Nick Ames"
97,"","Re-entry","Jérôme Boateng","Defender","CENTRE","Bayern Munich","Germany",32,"Germany","One of the true unsung heroes of Bayern’s glorious 2020 returns to the list for the first time since 2016. Binned by Joachim Löw for Germany and with the German champions inviting offers for him in recent summers, it looked as if Boateng was on the way out <a href=""https://www.theguardian.com/football/2020/aug/06/jerome-boateng-premier-league-bayern-munich-chelsea-young-talent"">not just of Bayern</a>, but of elite-level football in general. Instead, he was brought back into the fold by Hansi Flick – partly out of necessity with resources stretched – but responded with composed and stylish performances, not easy at 32 with his team playing a high line. There have even been calls for Germany to bring him back to fix their leaky defence. ","Andy Brassell"
98,"","New","Luis Alberto","Midfielder","CENTRE","Lazio","Italy",28,"Spain","Depending on whose numbers you want to use (Serie A’s official figures disagreed with those from Opta), Luis Alberto was either the No 1 or No 2 assist provider (behind Atalanta's Papu Gómez) in Serie A for 2019-20. Either way, he surpassed the previous record held by Ronaldinho, and <a href=""https://www.theguardian.com/football/blog/2020/jun/29/lazio-luck-luis-alberto-sorcery-serie-a-title-hopes"">played an essential role</a> in both Lazio’s top four finish and Ciro Immobile’s push to win the European Golden Shoe. He caused a stir in November when he criticised the club for spending money on an aeroplane instead of the team, but remains as indispensable as ever to manager Simone Inzaghi. ","Nicky Bandini"
99,"","New","Presnel Kimpembe","Defender","CENTRE","Paris St-Germain","France",25,"France","Despite being on PSG’s books since the age of 10, his breakthrough performance coming almost four years ago when he subdued Lionel Messi <a href=""https://www.theguardian.com/football/2017/feb/14/paris-saint-germain-barcelona-champions-league-last-16-first-leg-match-report"">in a victory over Barcelona</a>, and having a 2018 World Cup winners' medal, it was only this year that Kimpembe truly established himself as an essential part of his team, a development reflected in his first appearance in the Top 100. With his increased solidity in central defence he helped his side <a href=""https://www.theguardian.com/football/2020/aug/23/bayern-munich-paris-saint-germain-psg-champions-league-final-match-report"">reach the Champions League final</a> and – since the departure of Thiago Silva, on whom he said he models his play – he has emerged as one of PSG’s most influential voices, often entrusted with the captaincy. “I am not one of the phenomenons of my generation, I have had to work hard to come as far as I have,” he said this year.","Paul Doyle"
100,"153","New","Wissam Ben Yedder","Forward","CENTRE","Monaco","France",30,"France","With technique honed during an early spell as a futsal international, Ben Yedder thrives in tight spaces like a fleet-footed David Blaine. That ability, combined with a rare instinct for finishing, makes him a deadly striker, as he demonstrated last season – his first with Monaco – by finishing joint top-scorer of Ligue 1, level on goals with Kylian Mbappé, with whom he has become a regular in the France squad. His attitude, on top of his ability, endears him to his club, who appointed him captain less than a year after his arrival. His popularity there was fuelled further in January when one motorist <a href=""https://www.asmonaco.com/en/when-wissam-ben-yedder-does-good/"">thanked the striker for paying for his petrol</a> after his card was declined in a service station.","Paul Doyle"
